"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
9002,"HUC-545B","Dana and David Dornsife College of Letters, Arts and Sciences",18,"JCS Practicum Section II","","Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","","HUC",20251,0,1,"SP25","JCS Practicum Section II -  - Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","AY25","SP25","graduate"
9008,"HUC-541","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Field Work","","","","HUC",20251,0,1,"SP25","Field Work -  - ","AY25","SP25","graduate"
9009,"HUC-545","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Practicum","","Course owned and taught by Hebrew Union College faculty.","","HUC",20251,0,1,"SP25","Practicum -  - Course owned and taught by Hebrew Union College faculty.","AY25","SP25","graduate"
10104,"ALI-225","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Writing Skills I","","Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,1,"SP25","Academic and Professional Writing Skills I -  - Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10106,"ALI-234","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Speaking Skills II","","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,4,"SP25","Academic and Professional Speaking Skills II -  - Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10111,"ALI-235","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Writing Skills II","","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,7,"SP25","Academic and Professional Writing Skills II -  - Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10118,"ALI-242","Dana and David Dornsife College of Letters, Arts and Sciences",1,"High Intermediate Pronunciation","","Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.","","ALI",20251,0,2,"SP25","High Intermediate Pronunciation -  - Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.","AY25","SP25","undergrad lower division"
10121,"ALI-244","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Speaking Skills III","","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,7,"SP25","Academic and Professional Speaking Skills III -  - Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10129,"ALI-245","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Writing III","","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,11,"SP25","Academic and Professional Writing III -  - Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10140,"ALI-252","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Advanced Pronunciation","","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,3,"SP25","Advanced Pronunciation -  - Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10142,"ALI-246","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Intermediate Oral Communication for ITAs","","Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.","","ALI",20251,0,1,"SP25","Intermediate Oral Communication for ITAs -  - Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.","AY25","SP25","undergrad lower division"
10145,"ALI-254","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Speaking Skills IV","","Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,3,"SP25","Academic and Professional Speaking Skills IV -  - Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10148,"ALI-255","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Writing Skills IV","","Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,4,"SP25","Academic and Professional Writing Skills IV -  - Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division"
10152,"ALI-256","Dana and David Dornsife College of Letters, Arts and Sciences",1,"High Intermediate Oral Communication for ITAs","","Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the high intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.","","ALI",20251,0,2,"SP25","High Intermediate Oral Communication for ITAs -  - Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the high intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.","AY25","SP25","undergrad lower division"
10154,"ALI-270","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Advanced Oral Communication for ITAs","","Classroom interaction skills for International Teaching Assistants, with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.","","ALI",20251,0,4,"SP25","Advanced Oral Communication for ITAs -  - Classroom interaction skills for International Teaching Assistants, with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.","AY25","SP25","undergrad lower division"
10159,"ALI-271","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Language Tutorial for International Teaching Assistants","","Individualized tutorial on the language and oral skills used by International Teaching Assistants in the performance of his or her duties.  Based on observation and feedback.  Open to International Teaching Assistants only.  Graded CR/NC.","","ALI",20251,0,5,"SP25","Language Tutorial for International Teaching Assistants -  - Individualized tutorial on the language and oral skills used by International Teaching Assistants in the performance of his or her duties.  Based on observation and feedback.  Open to International Teaching Assistants only.  Graded CR/NC.","AY25","SP25","undergrad lower division"
