"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"38404","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","16:00","17:50","T","3","","Floyd, Gudrun, Bara","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38405","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","18:00","19:50","T","4","","Carlos, Joshua","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38406","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","09:00","10:50","W","3","","Floyd, Gudrun, Bara","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38408","HBIO-202","LAS","172","4.0","4.0","Nutrition for Life","C","Z","Y","11:00","13:15","MTWH","0","A","Polidori, Gioia","ONLINE",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38409","HBIO-120","LAS","001","1.0","1.0","Introduction to Human and Evolutionary Biology","C","Y","Y","16:00","16:50","M","1","","Lopes, Helaine, Owen","SGM101",NA,"Introduction to the major and field of human and evolutionary biology; sub-disciplines, career options and areas for research; guest speakers.","","HBIO","20261"
"38410","HBIO-370","LAS","001","0.0","0.0","Genetics and Disease","D","Y","Y","11:00","11:50","W","6","","Cross, Shannon","PEDB7",NA,"An overview of the genetic underpinning of human health and disease. Inheritance of mendelian diseases, common diseases, developmental diseases and cancer; prenatal testing, genetic counseling and genetic therapies.","","HBIO","20261"
"38411","HBIO-205","LAS","001","4.0","4.0","The Science of Sport","C","Y","Y","09:00","09:50","MWF","9","","Soultanakis, Helen (Eleni)","THH208",NA,"The physiological and nutritional basis of human performance. Factors that facilitate and limit athletic achievement. Lecture, 3 hours; laboratory, 2 hours. Not available for major credit. Duplicates credit in former EXSC 205Lxg.","","HBIO","20261"
"38412","HBIO-205","LAS","001","0.0","0.0","The Science of Sport","L","Y","Y","10:00","11:50","T","4","","Floyd, Gudrun, Bara","PEDB16",NA,"The physiological and nutritional basis of human performance. Factors that facilitate and limit athletic achievement. Lecture, 3 hours; laboratory, 2 hours. Not available for major credit. Duplicates credit in former EXSC 205Lxg.","","HBIO","20261"
"38413","HBIO-205","LAS","001","0.0","0.0","The Science of Sport","L","Y","Y","12:00","13:50","T","1","","Floyd, Gudrun, Bara","PEDB16",NA,"The physiological and nutritional basis of human performance. Factors that facilitate and limit athletic achievement. Lecture, 3 hours; laboratory, 2 hours. Not available for major credit. Duplicates credit in former EXSC 205Lxg.","","HBIO","20261"
"38414","HBIO-205","LAS","001","0.0","0.0","The Science of Sport","L","Y","Y","09:00","10:50","H","4","","Carlos, Joshua","PEDB16",NA,"The physiological and nutritional basis of human performance. Factors that facilitate and limit athletic achievement. Lecture, 3 hours; laboratory, 2 hours. Not available for major credit. Duplicates credit in former EXSC 205Lxg.","","HBIO","20261"
